Product_ID,Defect_Type,Defect_Severity,Defect_Location,Inspection_Result
1001,Discoloration,High,Edge,Fail
1002,Misalignment,High,Center,Fail
1003,No Defect,None,None,Pass
1004,No Defect,None,None,Pass
1005,Discoloration,None,Center,Pass
1006,Discoloration,High,Edge,Fail
1007,Discoloration,High,Edge,Fail
1008,Crack,High,Edge,Fail
1009,No Defect,None,None,Pass
1010,Discoloration,Low,Random,Pass
1011,Discoloration,None,Edge,Pass
1012,Discoloration,Medium,Center,Fail
1013,Crack,High,Center,Fail
1014,Discoloration,High,Center,Fail
1015,Misalignment,High,Random,Fail
1016,Misalignment,High,Center,Fail
1017,No Defect,None,None,Pass
1018,Discoloration,None,None,Pass
1019,No Defect,None,None,Pass
1020,Crack,Medium,Random,Fail
1021,Discoloration,None,Center,Pass
1022,No Defect,None,None,Pass
1023,Misalignment,Medium,None,Fail
1024,No Defect,None,None,Pass
1025,Misalignment,None,Edge,Pass
1026,Misalignment,Medium,Center,Fail
1027,Misalignment,Low,None,Pass
1028,Discoloration,None,Random,Pass
1029,Misalignment,None,Center,Pass
1030,Crack,Low,Random,Pass
1031,Discoloration,Medium,Random,Fail
1032,No Defect,None,None,Pass
1033,Discoloration,High,Edge,Fail
1034,Misalignment,Low,Edge,Pass
1035,Crack,None,Center,Pass
1036,No Defect,None,None,Pass
1037,No Defect,None,None,Pass
1038,Misalignment,Medium,Edge,Fail
1039,Misalignment,Low,Edge,Pass
1040,Misalignment,High,Center,Fail
1041,Crack,Medium,Edge,Fail
1042,No Defect,None,None,Pass
1043,Discoloration,Low,None,Pass
1044,Discoloration,None,Random,Pass
1045,No Defect,None,None,Pass
1046,Misalignment,None,Edge,Pass
1047,Discoloration,None,None,Pass
1048,Crack,Low,None,Pass
1049,Discoloration,High,Center,Fail
1050,Misalignment,Medium,Edge,Fail
1051,Misalignment,High,Edge,Fail
1052,Discoloration,Medium,Center,Fail
1053,No Defect,None,None,Pass
1054,Crack,High,None,Fail
1055,Misalignment,High,Edge,Fail
1056,Discoloration,Low,Random,Pass
1057,Misalignment,Medium,Random,Fail
1058,Misalignment,High,None,Fail
1059,Misalignment,Low,Edge,Pass
1060,Misalignment,High,Edge,Fail
1061,Crack,High,Edge,Fail
1062,Misalignment,Medium,Center,Fail
1063,No Defect,None,None,Pass
1064,Crack,Low,None,Pass
1065,Discoloration,Medium,Center,Fail
1066,No Defect,None,None,Pass
1067,Discoloration,None,Edge,Pass
1068,No Defect,None,None,Pass
1069,No Defect,None,None,Pass
1070,No Defect,None,None,Pass
1071,Discoloration,High,Center,Fail
1072,No Defect,None,None,Pass
1073,Discoloration,High,Center,Fail
1074,No Defect,None,None,Pass
1075,No Defect,None,None,Pass
1076,Discoloration,Medium,Random,Fail
1077,Discoloration,Low,Random,Pass
1078,Discoloration,Medium,Edge,Fail
1079,Crack,Low,Center,Pass
1080,Misalignment,Low,None,Pass
1081,Crack,High,Edge,Fail
1082,Misalignment,None,Center,Pass
1083,Crack,Low,None,Pass
1084,Misalignment,High,None,Fail
1085,No Defect,None,None,Pass
1086,No Defect,None,None,Pass
1087,Crack,None,None,Pass
1088,Crack,Low,None,Pass
1089,Crack,None,Center,Pass
1090,Discoloration,None,Center,Pass
1091,Discoloration,Medium,Center,Fail
1092,Discoloration,Low,Center,Pass
1093,No Defect,None,None,Pass
1094,Misalignment,Medium,Random,Fail
1095,Misalignment,None,Center,Pass
1096,Misalignment,None,Random,Pass
1097,Discoloration,Medium,Random,Fail
1098,Discoloration,None,Random,Pass
1099,Discoloration,Medium,Center,Fail
1100,No Defect,None,None,Pass
1101,Crack,High,Center,Fail
1102,Misalignment,High,Random,Fail
1103,Misalignment,None,Random,Pass
1104,Discoloration,Low,Edge,Pass
1105,Discoloration,Medium,None,Fail
1106,Crack,None,Center,Pass
1107,Misalignment,High,None,Fail
1108,No Defect,None,None,Pass
1109,Discoloration,Medium,Edge,Fail
1110,No Defect,None,None,Pass
1111,Discoloration,None,Center,Pass
1112,Misalignment,Medium,None,Fail
1113,Crack,High,None,Fail
1114,Discoloration,None,Edge,Pass
1115,No Defect,None,None,Pass
1116,Discoloration,Medium,Edge,Fail
1117,No Defect,None,None,Pass
1118,No Defect,None,None,Pass
1119,Misalignment,Low,None,Pass
1120,Crack,High,Center,Fail
1121,Misalignment,High,None,Fail
1122,Crack,High,Edge,Fail
1123,Discoloration,High,Center,Fail
1124,No Defect,None,None,Pass
1125,No Defect,None,None,Pass
1126,Crack,Low,Random,Pass
1127,Misalignment,High,Center,Fail
1128,No Defect,None,None,Pass
1129,Discoloration,Low,None,Pass
1130,No Defect,None,None,Pass
1131,Crack,Medium,None,Fail
1132,No Defect,None,None,Pass
1133,Crack,Low,Random,Pass
1134,Crack,None,Random,Pass
1135,Crack,High,Center,Fail
1136,Crack,Low,None,Pass
1137,Crack,Medium,Center,Fail
1138,Misalignment,Low,Center,Pass
1139,Misalignment,Low,Edge,Pass
1140,Misalignment,Medium,Center,Fail
1141,No Defect,None,None,Pass
1142,Crack,None,Edge,Pass
1143,Discoloration,High,Random,Fail
1144,Crack,High,None,Fail
1145,No Defect,None,None,Pass
1146,Discoloration,None,Center,Pass
1147,Misalignment,Low,Random,Pass
1148,Crack,Low,None,Pass
1149,Discoloration,High,Edge,Fail
1150,No Defect,None,None,Pass
1151,Discoloration,High,Center,Fail
1152,No Defect,None,None,Pass
1153,Discoloration,None,Random,Pass
1154,Misalignment,None,Center,Pass
1155,Discoloration,Low,Random,Pass
1156,No Defect,None,None,Pass
1157,Crack,High,Random,Fail
1158,Discoloration,High,Edge,Fail
1159,Discoloration,Medium,None,Fail
1160,No Defect,None,None,Pass
